id,year,title,authors,journal,doi,pmid,citations,theme,method,source
49,2026,High-throughput PBK modelling for dermal exposure: a pragmatic approach to predict systemic pharmacokinetics.,Zeynep Edizcan; Stephan Schaller; Lars Kuepfer; René Geci,Archives of toxicology,10.1007/s00204-026-04357-4,41915192,0,skin_permeability_qsar,QSAR,pubmed
51,2026,Microneedle-based theranostics for melanoma: Advances and outlook.,Jiahong Xu; Jiale Ma; Jiaqi Lou; Xuran Lin; Xinge Zhang; Zhikang Zhu; Hao Yu; Shoujie Wang,Materials today. Bio,10.1016/j.mtbio.2026.103054,41953719,0,microneedle_ml_permeation,none,pubmed
53,2022,[Estimation of skin absorption of chemicals with Fick's diffusion model].,Hiroaki Todo,Nihon yakurigaku zasshi. Folia pharmacologica Japonica,10.1254/fpj.22034,36047148,0,skin_permeability_qsar,FEM,pubmed
58,2026,FEA-guided co-design of bubble microneedles: controlled tip separation for rapid transdermal and sublingual delivery.,Changzhao Jiang; Jing Yang; Mengxuan Gao; Yi He; Weiwei Liao; Hang Chen; Zhixiong Wang; Shibo Ying,Drug delivery,10.1080/10717544.2026.2667564,42118678,0,microneedle_design_simulation,FEM,pubmed
59,2026,Machine Learning-Guided Near-Infrared Laser Processing for Precise Geometry Control in Microneedles with Downstream microLED-Triggered Photothermal Functionality.,Ismail Eş; Burak M Gormus; Pinar Ayas; Irfan Ullah; Christopher M Proctor,"Small (Weinheim an der Bergstrasse, Germany)",10.1002/smll.74545,42460780,0,microneedle_design_simulation,ML,pubmed
64,2026,In Vitro Release Prediction of Colchicine Transdermal Patch Based on Raman Spectroscopy Imaging and Data-Driven Modeling.,Xin Sha; Wenliang Dong; Lisong Zhang; Lian Li; Wenlong Li,AAPS PharmSciTech,10.1208/s12249-026-03480-w,42310244,0,formulation_optimization_ml,ensemble,pubmed
75,2026,Emerging Technologies and Current Trends in Cosmeceutics: Exploring Nanotechnology and Artificial Intelligence-Aided Approaches.,Phei Er Kee; Achuth Jayakrishnan; Vinie Xian Ying Tan; Ying Hui Loke; Muhammad Redza Fahmi Mod Razif; Kar Ming Yee; Long Chiau Ming; Mohammad F Bostanudin,Current pharmaceutical design,10.2174/0113816128428839260214132903,41919428,0,formulation_optimization_ml,ML,pubmed
79,2026,Development of AI-assisted 3D-printed degradable hydrogel microneedles for transdermal delivery of progesterone-loaded solid lipid nanoparticles: a novel approach to slowing Alzheimer's disease progression.,Phuvamin Suriyaamporn; Pawaris Wongprayoon; Warut Pannakkong; Boonnada Pamornpathomkul; Tanasait Ngawhirunpat; Theerasak Rojanarata; Praneet Opanasopit,International journal of pharmaceutics,10.1016/j.ijpharm.2026.126967,42107748,0,microneedle_ml_permeation,ANN,pubmed
84,2026,AI-Derived Smart Microneedle Systems for Advanced Wound Management: From Intelligent Sensing to Closed-Loop Therapy.,Xinran Chen; Kaiwen Zhou; Xin Li; Tong Wu; Hao Ren; Bingbing Gao,Macromolecular bioscience,10.1002/mabi.70204,42338323,0,microneedle_ml_permeation,ANN,pubmed
91,2016,"Exploratory data analysis of the dependencies between skin permeability, molecular weight and log P.",D Kilian; H J R Lemmer; M Gerber; J L du Preez; J du Plessis,Die Pharmazie,,27455549,,skin_permeability_qsar,none,pubmed
102,2026,Understanding drug diffusion and permeation in transdermal patches: A kinetic perspective.,Ishu Garg; Madhu Verma; Urmi Chaurasia; Tushar Negi; Shivani Rawat,European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,10.1016/j.ejpb.2026.115152,42315040,0,formulation_optimization_ml,review,pubmed
113,2026,Development and OECD-Guided Experimental Validation of Eigenvalue-Based QSAR Models for Skin Permeation.,Anish Gomatam; Manu Mathew; Jeffrey Pradeep Raj; Kavita Raikuvar; Saurabh Katawale; Hemali Savla; Krishna Iyer; Evans Coutinho,Journal of applied toxicology : JAT,10.1002/jat.70333,42402357,0,skin_permeability_qsar,QSAR,pubmed
