row_index,Drug name,Drug MW (Dalton),MN Length (mm),Permeation time (hour),fick_proxy_diffusion_um2_min,fick_proxy_residual_skin_mm,fick_proxy_fraction,predicted_permeation_percentage,predicted_permeation_amount_ug_cm2
37,lidocaine,234.34,0.889,0.166666667,700.0,0.11099999999999999,0.3481821169357465,34.81821169357465,24700.039375421857
38,lidocaine,234.34,0.889,0.166666667,700.0,0.11099999999999999,0.3481821169357465,34.81821169357465,24700.039375421857
39,lidocaine,234.34,0.889,0.25,700.0,0.11099999999999999,0.44369250408361627,44.36925040836163,31475.54623969174
40,lidocaine,234.34,0.889,0.25,700.0,0.11099999999999999,0.44369250408361627,44.36925040836163,31475.54623969174
41,lidocaine,234.34,0.889,0.25,700.0,0.11099999999999999,0.44369250408361627,44.36925040836163,31475.54623969174
42,lidocaine,234.34,0.889,0.333333333,700.0,0.11099999999999999,0.5071052178879396,50.71052178879396,35974.044156970434
43,lidocaine,234.34,0.889,0.333333333,700.0,0.11099999999999999,0.5071052178879396,50.71052178879396,35974.044156970434
44,lidocaine,234.34,0.889,0.333333333,700.0,0.11099999999999999,0.5071052178879396,50.71052178879396,35974.044156970434
45,lidocaine,234.34,0.889,0.416666667,700.0,0.11099999999999999,0.5529670453865285,55.296704538652854,39227.48219972033
46,lidocaine,234.34,0.889,0.416666667,700.0,0.11099999999999999,0.5529670453865285,55.296704538652854,39227.48219972033
47,lidocaine,234.34,0.889,0.416666667,700.0,0.11099999999999999,0.5529670453865285,55.296704538652854,39227.48219972033
48,lidocaine,234.34,0.889,0.5,700.0,0.11099999999999999,0.5880771825834954,58.80771825834954,41718.195332473166
49,lidocaine,234.34,0.889,0.5,700.0,0.11099999999999999,0.5880771825834954,58.80771825834954,41718.195332473166
50,lidocaine,234.34,0.889,0.75,700.0,0.11099999999999999,0.6583194613660195,65.83194613660194,46701.18258930542
51,lidocaine,234.34,0.889,0.75,700.0,0.11099999999999999,0.6583194613660195,65.83194613660194,46701.18258930542
52,lidocaine,234.34,0.889,1.0,700.0,0.11099999999999999,0.7017298587407149,70.17298587407149,49780.716179066316
53,lidocaine,234.34,0.889,1.0,700.0,0.11099999999999999,0.7017298587407149,70.17298587407149,49780.716179066316
54,lidocaine,234.34,0.889,1.0,700.0,0.11099999999999999,0.7017298587407149,70.17298587407149,18963.54770260908
55,lidocaine,234.34,0.889,1.0,700.0,0.11099999999999999,0.7017298587407149,70.17298587407149,18963.54770260908
56,lidocaine,234.34,0.889,1.0,700.0,0.11099999999999999,0.7017298587407149,70.17298587407149,18963.54770260908
57,lidocaine,234.34,0.889,1.5,700.0,0.11099999999999999,0.7545032204614202,75.45032204614202,53524.45845953315
58,lidocaine,234.34,0.889,1.5,700.0,0.11099999999999999,0.7545032204614202,75.45032204614202,53524.45845953315
59,lidocaine,234.34,0.889,2.0,700.0,0.11099999999999999,0.7865354221250604,78.65354221250604,55796.82284555179
60,lidocaine,234.34,0.889,2.0,700.0,0.11099999999999999,0.7865354221250604,78.65354221250604,55796.82284555179
61,lidocaine,234.34,0.889,2.0,700.0,0.11099999999999999,0.7865354221250604,78.65354221250604,21255.333247507635
62,lidocaine,234.34,0.889,2.0,700.0,0.11099999999999999,0.7865354221250604,78.65354221250604,21255.333247507635
63,lidocaine,234.34,0.889,3.0,700.0,0.11099999999999999,0.8250011058447853,82.50011058447852,58525.578448629065
64,lidocaine,234.34,0.889,3.0,700.0,0.11099999999999999,0.8250011058447853,82.50011058447852,58525.578448629065
65,lidocaine,234.34,0.889,3.0,700.0,0.11099999999999999,0.8250011058447853,82.50011058447852,41738.455946899376
66,lidocaine,234.34,0.889,3.0,700.0,0.11099999999999999,0.8250011058447853,82.50011058447852,41738.455946899376
67,lidocaine,234.34,0.889,3.0,700.0,0.11099999999999999,0.8250011058447853,82.50011058447852,22294.829884349478
68,lidocaine,234.34,0.889,3.0,700.0,0.11099999999999999,0.8250011058447853,82.50011058447852,22294.829884349478
69,lidocaine,234.34,0.889,3.0,700.0,0.11099999999999999,0.8250011058447853,82.50011058447852,22294.829884349478
70,lidocaine,234.34,0.889,6.0,700.0,0.11099999999999999,0.8757543586714056,87.57543586714056,62126.01420414951
71,lidocaine,234.34,0.889,6.0,700.0,0.11099999999999999,0.8757543586714056,87.57543586714056,62126.01420414951
72,lidocaine,234.34,0.889,6.0,700.0,0.11099999999999999,0.8757543586714056,87.57543586714056,44306.16451390375
73,lidocaine,234.34,0.889,6.0,700.0,0.11099999999999999,0.8757543586714056,87.57543586714056,44306.16451390375
74,lidocaine,234.34,0.889,6.0,700.0,0.11099999999999999,0.8757543586714056,87.57543586714056,44306.16451390375
75,lidocaine,234.34,0.889,6.0,700.0,0.11099999999999999,0.8757543586714056,87.57543586714056,23666.385788736065
76,lidocaine,234.34,0.889,6.0,700.0,0.11099999999999999,0.8757543586714056,87.57543586714056,23666.385788736065
77,lidocaine,234.34,0.889,6.0,700.0,0.11099999999999999,0.8757543586714056,87.57543586714056,23666.385788736065
78,lidocaine,234.34,0.889,19.5,700.0,0.11099999999999999,0.930886656144863,93.0886656144863,66037.09938691658
79,lidocaine,234.34,0.889,19.5,700.0,0.11099999999999999,0.930886656144863,93.0886656144863,66037.09938691658
80,lidocaine,234.34,0.889,20.0,700.0,0.11099999999999999,0.9317539042008942,93.17539042008943,25179.717507124966
81,lidocaine,234.34,0.889,20.0,700.0,0.11099999999999999,0.9317539042008942,93.17539042008943,25179.717507124966
82,lidocaine,234.34,0.889,21.0,700.0,0.11099999999999999,0.9333947571329848,93.33947571329848,47222.30755287197
83,lidocaine,234.34,0.889,21.0,700.0,0.11099999999999999,0.9333947571329848,93.33947571329848,47222.30755287197
84,lidocaine,234.34,0.889,21.0,700.0,0.11099999999999999,0.9333947571329848,93.33947571329848,47222.30755287197
85,lidocaine,234.34,0.889,24.0,700.0,0.11099999999999999,0.937687441451813,93.7687441451813,66519.54709659162
86,lidocaine,234.34,0.889,24.0,700.0,0.11099999999999999,0.937687441451813,93.7687441451813,66519.54709659162
87,lidocaine,234.34,0.889,24.0,700.0,0.11099999999999999,0.937687441451813,93.7687441451813,66519.54709659162
88,lidocaine,234.34,0.889,24.0,700.0,0.11099999999999999,0.937687441451813,93.7687441451813,47439.48303793013
89,lidocaine,234.34,0.889,24.0,700.0,0.11099999999999999,0.937687441451813,93.7687441451813,47439.48303793013
90,lidocaine,234.34,0.889,24.0,700.0,0.11099999999999999,0.937687441451813,93.7687441451813,47439.48303793013
91,lidocaine,234.34,0.889,24.0,700.0,0.11099999999999999,0.937687441451813,93.7687441451813,25340.065417793794
92,lidocaine,234.34,0.889,24.0,700.0,0.11099999999999999,0.937687441451813,93.7687441451813,25340.065417793794
93,lidocaine,234.34,0.889,24.0,700.0,0.11099999999999999,0.937687441451813,93.7687441451813,25340.065417793794
94,Rhodamine B,479.02,1.25,6.0,551.5636451354638,0.05,0.9367601941381827,93.67601941381827,46.83800970690913
95,Rhodamine B,479.02,1.25,6.0,551.5636451354638,0.05,0.9367601941381827,93.67601941381827,46.83800970690913
96,Rhodamine B,479.02,1.25,6.0,551.5636451354638,0.05,0.9367601941381827,93.67601941381827,46.83800970690913
97,Rhodamine B,479.02,1.25,16.0,551.5636451354638,0.05,0.9612482974664929,96.12482974664928,48.06241487332464
98,Rhodamine B,479.02,1.25,16.0,551.5636451354638,0.05,0.9612482974664929,96.12482974664928,48.06241487332464
99,Rhodamine B,479.02,1.25,22.0,551.5636451354638,0.05,0.9669488916402735,96.69488916402736,48.34744458201368
100,Rhodamine B,479.02,1.25,22.0,551.5636451354638,0.05,0.9669488916402735,96.69488916402736,48.34744458201368
101,Rhodamine B,479.02,1.25,26.0,551.5636451354638,0.05,0.9695960640350023,96.95960640350023,48.479803201750116
102,Rhodamine B,479.02,1.25,26.0,551.5636451354638,0.05,0.9695960640350023,96.95960640350023,48.479803201750116
103,Rhodamine B,479.02,1.25,30.0,551.5636451354638,0.05,0.9716945623823364,97.16945623823364,48.58472811911682
104,Rhodamine B,479.02,1.25,30.0,551.5636451354638,0.05,0.9716945623823364,97.16945623823364,48.58472811911682
105,Rhodamine B,479.02,1.25,35.0,551.5636451354638,0.05,0.9737934714538392,97.37934714538392,48.68967357269196
106,Rhodamine B,479.02,1.25,35.0,551.5636451354638,0.05,0.9737934714538392,97.37934714538392,48.68967357269196
107,Rhodamine B,479.02,1.25,40.0,551.5636451354638,0.05,0.9754854861421381,97.54854861421381,48.77427430710691
108,Rhodamine B,479.02,1.25,40.0,551.5636451354638,0.05,0.9754854861421381,97.54854861421381,48.77427430710691
109,Rhodamine B,479.02,1.25,44.0,551.5636451354638,0.05,0.9766259937654782,97.66259937654782,48.83129968827391
110,Rhodamine B,479.02,1.25,44.0,551.5636451354638,0.05,0.9766259937654782,97.66259937654782,48.83129968827391
111,Rhodamine B,479.02,1.25,48.0,551.5636451354638,0.05,0.9776208260228302,97.76208260228302,48.88104130114151
112,Rhodamine B,479.02,1.25,48.0,551.5636451354638,0.05,0.9776208260228302,97.76208260228302,48.88104130114151
113,caffeine,194.19,0.875973,0.5,745.2544214497428,0.124027,0.5575211288357881,55.75211288357881,2960.4371941180348
114,caffeine,194.19,0.998619,0.5,745.2544214497428,0.05,0.813082327086211,81.30823270862109,3000.2737869481184
115,caffeine,194.19,1.062965,0.5,745.2544214497428,0.05,0.813082327086211,81.30823270862109,1780.650296318802
116,caffeine,194.19,0.875973,1.0,745.2544214497428,0.124027,0.6783340563366269,67.8334056336627,3601.953839147489
117,caffeine,194.19,0.998619,1.0,745.2544214497428,0.05,0.8672154628644718,86.72154628644718,3200.025057969901
118,caffeine,194.19,1.062965,1.0,745.2544214497428,0.05,0.8672154628644718,86.72154628644718,1899.2018636731932
119,caffeine,194.19,0.875973,3.0,745.2544214497428,0.124027,0.8107575750037697,81.07575750037697,4305.122723270017
120,caffeine,194.19,0.998619,3.0,745.2544214497428,0.05,0.9230989130337268,92.30989130337268,3406.234989094452
121,caffeine,194.19,1.062965,3.0,745.2544214497428,0.05,0.9230989130337268,92.30989130337268,2021.5866195438618
122,caffeine,194.19,0.875973,6.0,745.2544214497428,0.124027,0.8655481803672883,86.55481803672883,4596.060837750301
123,caffeine,194.19,0.998619,6.0,745.2544214497428,0.05,0.9455805179365423,94.55805179365423,3489.192111185841
124,caffeine,194.19,1.062965,6.0,745.2544214497428,0.05,0.9455805179365423,94.55805179365423,2070.8213342810277
125,caffeine,194.19,0.875973,9.0,745.2544214497428,0.124027,0.8900461255555396,89.00461255555396,4726.144926699915
126,caffeine,194.19,0.998619,9.0,745.2544214497428,0.05,0.955555182329247,95.5555182329247,3525.998622794921
127,caffeine,194.19,1.062965,9.0,745.2544214497428,0.05,0.955555182329247,95.5555182329247,2092.665849301051
128,caffeine,194.19,0.875973,24.0,745.2544214497428,0.124027,0.932533332105087,93.2533332105087,4951.751993478012
129,caffeine,194.19,0.998619,24.0,745.2544214497428,0.05,0.9727744138615672,97.27744138615671,3589.537587149183
130,caffeine,194.19,1.062965,24.0,745.2544214497428,0.05,0.9727744138615672,97.27744138615671,2130.375966356832
131,copper ions,63.5,0.7,1.0,1000.0,0.30000000000000004,0.3864762307712327,38.64762307712327,284.67839158609
132,copper ions,63.5,0.7,3.0,1000.0,0.30000000000000004,0.6170750774519738,61.707507745197375,454.5375020511239
133,copper ions,63.5,0.7,6.0,1000.0,0.30000000000000004,0.7236736098317631,72.36736098317631,533.0579810020768
134,copper ions,63.5,0.7,9.0,1000.0,0.30000000000000004,0.7728299926844475,77.28299926844475,569.266572611364
135,copper ions,63.5,0.7,1.0,1000.0,0.30000000000000004,0.3864762307712327,38.64762307712327,284.67839158609
136,copper ions,63.5,0.7,3.0,1000.0,0.30000000000000004,0.6170750774519738,61.707507745197375,454.5375020511239
137,copper ions,63.5,0.7,6.0,1000.0,0.30000000000000004,0.7236736098317631,72.36736098317631,533.0579810020768
138,copper ions,63.5,0.7,9.0,1000.0,0.30000000000000004,0.7728299926844475,77.28299926844475,569.266572611364
139,copper ions,63.5,0.7,1.0,1000.0,0.30000000000000004,0.3864762307712327,38.64762307712327,284.67839158609
140,copper ions,63.5,0.7,3.0,1000.0,0.30000000000000004,0.6170750774519738,61.707507745197375,454.5375020511239
141,copper ions,63.5,0.7,6.0,1000.0,0.30000000000000004,0.7236736098317631,72.36736098317631,533.0579810020768
142,copper ions,63.5,0.7,9.0,1000.0,0.30000000000000004,0.7728299926844475,77.28299926844475,569.266572611364
143,copper ions,63.5,0.7,1.0,1000.0,0.30000000000000004,0.3864762307712327,38.64762307712327,284.67839158609
144,copper ions,63.5,0.7,1.0,1000.0,0.30000000000000004,0.3864762307712327,38.64762307712327,284.67839158609
145,copper ions,63.5,0.7,1.0,1000.0,0.30000000000000004,0.3864762307712327,38.64762307712327,284.67839158609
146,copper ions,63.5,0.7,3.0,1000.0,0.30000000000000004,0.6170750774519738,61.707507745197375,454.5375020511239
147,copper ions,63.5,0.7,3.0,1000.0,0.30000000000000004,0.6170750774519738,61.707507745197375,454.5375020511239
148,copper ions,63.5,0.7,3.0,1000.0,0.30000000000000004,0.6170750774519738,61.707507745197375,454.5375020511239
149,copper ions,63.5,0.7,6.0,1000.0,0.30000000000000004,0.7236736098317631,72.36736098317631,533.0579810020768
150,copper ions,63.5,0.7,6.0,1000.0,0.30000000000000004,0.7236736098317631,72.36736098317631,533.0579810020768
151,copper ions,63.5,0.7,6.0,1000.0,0.30000000000000004,0.7236736098317631,72.36736098317631,533.0579810020768
152,copper ions,63.5,0.7,9.0,1000.0,0.30000000000000004,0.7728299926844475,77.28299926844475,569.266572611364
153,copper ions,63.5,0.7,9.0,1000.0,0.30000000000000004,0.7728299926844475,77.28299926844475,569.266572611364
154,copper ions,63.5,0.7,9.0,1000.0,0.30000000000000004,0.7728299926844475,77.28299926844475,569.266572611364
155,GHK peptide,340.38,0.7,1.0,618.1001332640247,0.30000000000000004,0.2706606674561294,27.066066745612936,2134.9713448939488
156,GHK peptide,340.38,0.7,3.0,618.1001332640247,0.30000000000000004,0.5247921997289725,52.47921997289725,4139.560871462135
157,GHK peptide,340.38,0.7,6.0,618.1001332640247,0.30000000000000004,0.6529247549289534,65.29247549289533,5150.270466879584
158,GHK peptide,340.38,0.7,9.0,618.1001332640247,0.30000000000000004,0.7134841633818207,71.34841633818208,5627.963080755802
159,GHK peptide,340.38,0.7,1.0,618.1001332640247,0.30000000000000004,0.2706606674561294,27.066066745612936,2134.9713448939488
160,GHK peptide,340.38,0.7,3.0,618.1001332640247,0.30000000000000004,0.5247921997289725,52.47921997289725,4139.560871462135
161,GHK peptide,340.38,0.7,6.0,618.1001332640247,0.30000000000000004,0.6529247549289534,65.29247549289533,5150.270466879584
162,GHK peptide,340.38,0.7,9.0,618.1001332640247,0.30000000000000004,0.7134841633818207,71.34841633818208,5627.963080755802
163,GHK peptide,340.38,0.7,1.0,618.1001332640247,0.30000000000000004,0.2706606674561294,27.066066745612936,2134.9713448939488
164,GHK peptide,340.38,0.7,3.0,618.1001332640247,0.30000000000000004,0.5247921997289725,52.47921997289725,4139.560871462135
165,GHK peptide,340.38,0.7,6.0,618.1001332640247,0.30000000000000004,0.6529247549289534,65.29247549289533,5150.270466879584
166,GHK peptide,340.38,0.7,9.0,618.1001332640247,0.30000000000000004,0.7134841633818207,71.34841633818208,5627.963080755802
167,GHK peptide,340.38,0.7,1.0,618.1001332640247,0.30000000000000004,0.2706606674561294,27.066066745612936,2134.9713448939488
168,GHK peptide,340.38,0.7,1.0,618.1001332640247,0.30000000000000004,0.2706606674561294,27.066066745612936,2134.9713448939488
169,GHK peptide,340.38,0.7,1.0,618.1001332640247,0.30000000000000004,0.2706606674561294,27.066066745612936,2134.9713448939488
170,GHK peptide,340.38,0.7,3.0,618.1001332640247,0.30000000000000004,0.5247921997289725,52.47921997289725,4139.560871462135
171,GHK peptide,340.38,0.7,3.0,618.1001332640247,0.30000000000000004,0.5247921997289725,52.47921997289725,4139.560871462135
172,GHK peptide,340.38,0.7,3.0,618.1001332640247,0.30000000000000004,0.5247921997289725,52.47921997289725,4139.560871462135
173,GHK peptide,340.38,0.7,6.0,618.1001332640247,0.30000000000000004,0.6529247549289534,65.29247549289533,5150.270466879584
174,GHK peptide,340.38,0.7,6.0,618.1001332640247,0.30000000000000004,0.6529247549289534,65.29247549289533,5150.270466879584
175,GHK peptide,340.38,0.7,6.0,618.1001332640247,0.30000000000000004,0.6529247549289534,65.29247549289533,5150.270466879584
176,GHK peptide,340.38,0.7,9.0,618.1001332640247,0.30000000000000004,0.7134841633818207,71.34841633818208,5627.963080755802
177,GHK peptide,340.38,0.7,9.0,618.1001332640247,0.30000000000000004,0.7134841633818207,71.34841633818208,5627.963080755802
178,GHK peptide,340.38,0.7,9.0,618.1001332640247,0.30000000000000004,0.7134841633818207,71.34841633818208,5627.963080755802
179,lidocaine,234.34,0.7,1.0,700.0,0.30000000000000004,0.3006229881969068,30.06229881969068,1503.114940984534
180,lidocaine,234.34,0.7,3.0,700.0,0.30000000000000004,0.5500973172303968,55.00973172303968,2750.486586151984
181,lidocaine,234.34,0.7,6.0,700.0,0.30000000000000004,0.6726038174415165,67.26038174415166,3363.0190872075827
182,lidocaine,234.34,0.7,9.0,700.0,0.30000000000000004,0.7300697275800422,73.00697275800422,3650.348637900211
183,lidocaine,234.34,0.7,1.0,700.0,0.30000000000000004,0.3006229881969068,30.06229881969068,1503.114940984534
184,lidocaine,234.34,0.7,3.0,700.0,0.30000000000000004,0.5500973172303968,55.00973172303968,2750.486586151984
185,lidocaine,234.34,0.7,6.0,700.0,0.30000000000000004,0.6726038174415165,67.26038174415166,3363.0190872075827
186,lidocaine,234.34,0.7,9.0,700.0,0.30000000000000004,0.7300697275800422,73.00697275800422,3650.348637900211
187,lidocaine,234.34,0.7,1.0,700.0,0.30000000000000004,0.3006229881969068,30.06229881969068,1503.114940984534
188,lidocaine,234.34,0.7,3.0,700.0,0.30000000000000004,0.5500973172303968,55.00973172303968,2750.486586151984
189,lidocaine,234.34,0.7,6.0,700.0,0.30000000000000004,0.6726038174415165,67.26038174415166,3363.0190872075827
190,lidocaine,234.34,0.7,9.0,700.0,0.30000000000000004,0.7300697275800422,73.00697275800422,3650.348637900211
