row_index,drug_name,observed_permeation_amount_ug_cm2,Drug loading in MN patch (µg),Drug MW (Dalton),MN Length (mm),Skin type (rat =1; human = 2),MN type (hydrogel =1; plastic = 2),MN surface area (mm2),Permeation time (hour)
79,lidocaine,21343.98269,12221.466796875,-30.739425659179688,-6.907868385314941,49.8714599609375,0.0,-3.1031391620635986,6055.6318359375
80,lidocaine,9210.233657,4104.91796875,-30.777103424072266,-7.21942663192749,58.28270721435547,0.0,-3.1697893142700195,2965.994873046875
81,lidocaine,9354.956357,4104.91796875,-30.777103424072266,-7.21942663192749,58.28270721435547,0.0,-3.1697893142700195,2965.994873046875
82,lidocaine,8482.038772,2152.27099609375,-30.474563598632812,-5.577949047088623,49.404197692871094,0.0,-2.5876808166503906,3664.4404296875
83,lidocaine,7373.773512,2152.27099609375,-30.474563598632812,-5.577949047088623,49.404197692871094,0.0,-2.5876808166503906,3664.4404296875
84,lidocaine,8217.700744,2152.27099609375,-30.474563598632812,-5.577949047088623,49.404197692871094,0.0,-2.5876808166503906,3664.4404296875
85,lidocaine,22412.30259,14094.0712890625,-30.13819122314453,-5.666842937469482,49.065147399902344,0.0,-2.9700512886047363,8909.380859375
86,lidocaine,24210.37745,14094.0712890625,-30.13819122314453,-5.666842937469482,49.065147399902344,0.0,-2.9700512886047363,8909.380859375
87,lidocaine,29009.78801,14094.0712890625,-30.13819122314453,-5.666842937469482,49.065147399902344,0.0,-2.9700512886047363,8909.380859375
88,lidocaine,10460.91572,2597.713623046875,-30.860443115234375,-5.81392240524292,49.404197692871094,0.0,-2.824845790863037,4607.8515625
89,lidocaine,8204.473607,2597.713623046875,-30.860443115234375,-5.81392240524292,49.404197692871094,0.0,-2.824845790863037,4607.8515625
90,lidocaine,9566.054457,2597.713623046875,-30.860443115234375,-5.81392240524292,49.404197692871094,0.0,-2.824845790863037,4607.8515625
91,lidocaine,12962.76232,4839.79150390625,-30.22255516052246,-5.889571189880371,53.02672576904297,0.0,-2.864933490753174,4527.95263671875
92,lidocaine,10514.86409,4839.79150390625,-30.22255516052246,-5.889571189880371,53.02672576904297,0.0,-2.864933490753174,4527.95263671875
93,lidocaine,11254.14165,4839.79150390625,-30.22255516052246,-5.889571189880371,53.02672576904297,0.0,-2.864933490753174,4527.95263671875
94,Rhodamine B,2.852534781,-2384.884521484375,-78.46153259277344,-12.693657875061035,43.64295959472656,0.0,-2.5988969802856445,240.39889526367188
95,Rhodamine B,3.19852408,-2384.884521484375,-78.46153259277344,-12.693657875061035,43.64295959472656,0.0,-2.5988969802856445,240.39889526367188
96,Rhodamine B,2.356616786,-2384.884521484375,-78.46153259277344,-12.693657875061035,43.64295959472656,0.0,-2.5988969802856445,240.39889526367188
97,Rhodamine B,4.73380197,-3105.577880859375,-82.73883056640625,-10.011120796203613,44.736717224121094,0.0,-3.707322120666504,965.582275390625
98,Rhodamine B,4.753023597,-3105.577880859375,-82.73883056640625,-10.011120796203613,44.736717224121094,0.0,-3.707322120666504,965.582275390625
99,Rhodamine B,6.389560519,-3563.076904296875,-101.85208892822266,-4.660604476928711,43.887027740478516,0.0,-3.2811102867126465,1439.1990966796875
100,Rhodamine B,5.796252944,-3563.076904296875,-101.85208892822266,-4.660604476928711,43.887027740478516,0.0,-3.2811102867126465,1439.1990966796875
101,Rhodamine B,7.388341422,-3572.71240234375,-105.00625610351562,-4.0098371505737305,43.887027740478516,0.0,-3.2566733360290527,1449.669189453125
102,Rhodamine B,6.385500108,-3572.71240234375,-105.00625610351562,-4.0098371505737305,43.887027740478516,0.0,-3.2566733360290527,1449.669189453125
103,Rhodamine B,8.222620368,-3571.189208984375,-105.00625610351562,-5.2292280197143555,43.887027740478516,0.0,-3.2566733360290527,1454.7545166015625
104,Rhodamine B,7.022612893,-3571.189208984375,-105.00625610351562,-5.2292280197143555,43.887027740478516,0.0,-3.2566733360290527,1454.7545166015625
105,Rhodamine B,9.011646829,-3571.595703125,-108.11249542236328,-4.527251720428467,43.887027740478516,0.0,-3.2566733360290527,1455.20751953125
106,Rhodamine B,7.608216742,-3571.595703125,-108.11249542236328,-4.527251720428467,43.887027740478516,0.0,-3.2566733360290527,1455.20751953125
107,Rhodamine B,9.358475347,-3571.595703125,-108.11249542236328,-4.527251720428467,43.887027740478516,0.0,-3.2566733360290527,1455.20751953125
108,Rhodamine B,8.168518396,-3571.595703125,-108.11249542236328,-4.527251720428467,43.887027740478516,0.0,-3.2566733360290527,1455.20751953125
109,Rhodamine B,10.12684798,-3573.863037109375,-107.93954467773438,-4.527251720428467,43.91189193725586,0.0,-3.3228518962860107,1458.4876708984375
110,Rhodamine B,8.456425715,-3573.863037109375,-107.93954467773438,-4.527251720428467,43.91189193725586,0.0,-3.3228518962860107,1458.4876708984375
111,Rhodamine B,13.26058499,-3588.727783203125,-107.93954467773438,-4.527251720428467,42.535240173339844,0.0,-1.8284997940063477,1476.6483154296875
112,Rhodamine B,11.40614532,-3588.727783203125,-107.93954467773438,-4.527251720428467,42.535240173339844,0.0,-1.8284997940063477,1476.6483154296875
113,caffeine,1.0537,-1065.324951171875,-95.25729370117188,-8.287152290344238,-97.28768920898438,0.0,-5.112709999084473,-924.5660400390625
114,caffeine,2.5195,-1075.4423828125,-95.51150512695312,-5.45064640045166,-85.4844741821289,0.0,-4.398995876312256,-926.5107421875
115,caffeine,4.5977,-1075.3853759765625,-94.45828247070312,-6.023140907287598,-86.58560180664062,0.0,7.52372407913208,-936.0037841796875
116,caffeine,2.917,-1305.9517822265625,-94.73838806152344,-8.83027458190918,-96.55609130859375,0.0,-5.112709999084473,-682.4684448242188
117,caffeine,4.385,-1319.64697265625,-94.99259948730469,-3.4964168071746826,-84.75287628173828,0.0,-4.398995876312256,-685.3553466796875
118,caffeine,7.7315,-1318.1038818359375,-93.93937683105469,-3.74013090133667,-86.53211212158203,0.0,7.52372407913208,-693.3622436523438
119,caffeine,9.4102,-1716.6234130859375,-106.02982330322266,-8.50559139251709,-121.61724853515625,0.0,-2.4827239513397217,-232.7310028076172
120,caffeine,12.8826,-1729.912353515625,-108.8131332397461,-0.2621437609195709,-109.01343536376953,0.0,-4.400200366973877,-237.389892578125
121,caffeine,30.8624,-1718.263671875,-105.80661010742188,-0.4204769432544708,-109.61158752441406,0.0,4.9075117111206055,-237.16140747070312
122,caffeine,21.5937,-2112.5869140625,-109.0361557006836,-6.968887805938721,-154.77671813964844,0.0,-2.295015335083008,213.92010498046875
123,caffeine,23.3053,-2120.339111328125,-112.95167541503906,-4.947141647338867,-134.65101623535156,0.0,-5.686462879180908,210.4193878173828
124,caffeine,54.3821,-2107.60986328125,-109.7723159790039,-3.9913909435272217,-135.2491455078125,0.0,3.7620184421539307,212.168212890625
125,caffeine,32.4588,-2812.364990234375,-127.97393035888672,-9.22470474243164,-159.5815887451172,0.0,-3.5879178047180176,950.4789428710938
126,caffeine,33.9639,-2818.577880859375,-137.62461853027344,-9.291987419128418,-138.39732360839844,0.0,-5.791640758514404,950.0067749023438
127,caffeine,72.4596,-2805.51708984375,-133.20733642578125,-7.0350470542907715,-140.15879821777344,0.0,6.171197414398193,953.9136352539062
128,caffeine,79.1873,-3231.73974609375,-141.74835205078125,-7.198955535888672,-154.66297912597656,0.0,-3.617119789123535,1419.937744140625
129,caffeine,89.0393,-3233.195068359375,-150.53509521484375,-5.954466342926025,-137.3146209716797,0.0,-5.8531174659729,1425.912841796875
130,caffeine,131.1062,-3218.33447265625,-146.34266662597656,-4.041825294494629,-139.0760955810547,0.0,8.107338905334473,1434.168212890625
131,copper ions,6.227064,-1484.2083740234375,-99.90263366699219,10.571237564086914,36.82471466064453,0.0,2.349944591522217,-656.7755126953125
132,copper ions,7.476744,-1903.890380859375,-119.74526977539062,5.308712482452393,37.40484619140625,0.0,1.6667182445526123,-208.39935302734375
133,copper ions,8.319516,-2339.013427734375,-121.60730743408203,5.8556599617004395,39.59346008300781,0.0,-0.8471986055374146,225.45968627929688
134,copper ions,9.05256,-3058.741455078125,-135.9385223388672,6.487942218780518,40.89173126220703,0.0,1.6896793842315674,961.0037841796875
135,copper ions,6.166104,-1484.2083740234375,-99.90263366699219,10.571237564086914,36.82471466064453,0.0,2.349944591522217,-656.7755126953125
136,copper ions,7.438644,-1903.890380859375,-119.74526977539062,5.308712482452393,37.40484619140625,0.0,1.6667182445526123,-208.39935302734375
137,copper ions,8.456676,-2339.013427734375,-121.60730743408203,5.8556599617004395,39.59346008300781,0.0,-0.8471986055374146,225.45968627929688
138,copper ions,9.447276,-3058.741455078125,-135.9385223388672,6.487942218780518,40.89173126220703,0.0,1.6896793842315674,961.0037841796875
139,copper ions,4.928616,-1484.2083740234375,-99.90263366699219,10.571237564086914,36.82471466064453,0.0,2.349944591522217,-656.7755126953125
140,copper ions,7.02564,-1903.890380859375,-119.74526977539062,5.308712482452393,37.40484619140625,0.0,1.6667182445526123,-208.39935302734375
141,copper ions,9.011412,-2339.013427734375,-121.60730743408203,5.8556599617004395,39.59346008300781,0.0,-0.8471986055374146,225.45968627929688
142,copper ions,10.879836,-3058.741455078125,-135.9385223388672,6.487942218780518,40.89173126220703,0.0,1.6896793842315674,961.0037841796875
143,copper ions,19.5168,-1422.2049560546875,-92.82097625732422,4.758795261383057,-21.69384765625,0.0,1.0393104553222656,-647.6193237304688
144,copper ions,18.288,-1422.2049560546875,-92.82097625732422,4.758795261383057,-21.69384765625,0.0,1.0393104553222656,-647.6193237304688
145,copper ions,13.0368,-1422.2049560546875,-92.82097625732422,4.758795261383057,-21.69384765625,0.0,1.0393104553222656,-647.6193237304688
146,copper ions,29.2368,-1831.440185546875,-107.14165496826172,2.0827622413635254,-28.596092224121094,0.0,-0.3015524744987488,-206.72557067871094
147,copper ions,25.0512,-1831.440185546875,-107.14165496826172,2.0827622413635254,-28.596092224121094,0.0,-0.3015524744987488,-206.72557067871094
148,copper ions,25.1808,-1831.440185546875,-107.14165496826172,2.0827622413635254,-28.596092224121094,0.0,-0.3015524744987488,-206.72557067871094
149,copper ions,38.1696,-2245.776611328125,-108.99388885498047,2.6297104358673096,-29.736230850219727,0.0,-1.3162126541137695,223.8047332763672
150,copper ions,32.3568,-2245.776611328125,-108.99388885498047,2.6297104358673096,-29.736230850219727,0.0,-1.3162126541137695,223.8047332763672
151,copper ions,38.28,-2245.776611328125,-108.99388885498047,2.6297104358673096,-29.736230850219727,0.0,-1.3162126541137695,223.8047332763672
152,copper ions,45.4848,-2957.921142578125,-119.1904067993164,4.315736293792725,-33.2840576171875,0.0,-0.4823227524757385,954.5026245117188
153,copper ions,39.168,-2957.921142578125,-119.1904067993164,4.315736293792725,-33.2840576171875,0.0,-0.4823227524757385,954.5026245117188
154,copper ions,49.7904,-2957.921142578125,-119.1904067993164,4.315736293792725,-33.2840576171875,0.0,-0.4823227524757385,954.5026245117188
155,GHK peptide,453.2456677,-1146.927490234375,-79.47682189941406,10.077863693237305,139.610595703125,0.0,8.041380882263184,-819.8353881835938
156,GHK peptide,608.5402767,-1513.8253173828125,-77.53495025634766,6.3712921142578125,170.85385131835938,0.0,6.479475975036621,-307.1258850097656
157,GHK peptide,699.8355176,-1877.0653076171875,-86.89659118652344,5.6383748054504395,204.96047973632812,0.0,3.691772222518921,198.61492919921875
158,GHK peptide,768.8046883,-2572.3154296875,-80.38359832763672,6.673557758331299,212.65744018554688,0.0,10.420412063598633,973.2833251953125
159,GHK peptide,275.8769329,-1146.927490234375,-79.47682189941406,10.077863693237305,139.610595703125,0.0,8.041380882263184,-819.8353881835938
160,GHK peptide,402.590303,-1513.8253173828125,-77.53495025634766,6.3712921142578125,170.85385131835938,0.0,6.479475975036621,-307.1258850097656
161,GHK peptide,496.3157573,-1877.0653076171875,-86.89659118652344,5.6383748054504395,204.96047973632812,0.0,3.691772222518921,198.61492919921875
162,GHK peptide,569.6710595,-2572.3154296875,-80.38359832763672,6.673557758331299,212.65744018554688,0.0,10.420412063598633,973.2833251953125
163,GHK peptide,194.1998183,-1146.927490234375,-79.47682189941406,10.077863693237305,139.610595703125,0.0,8.041380882263184,-819.8353881835938
164,GHK peptide,448.5200612,-1513.8253173828125,-77.53495025634766,6.3712921142578125,170.85385131835938,0.0,6.479475975036621,-307.1258850097656
165,GHK peptide,710.2470186,-1877.0653076171875,-86.89659118652344,5.6383748054504395,204.96047973632812,0.0,3.691772222518921,198.61492919921875
166,GHK peptide,916.9397782,-2572.3154296875,-80.38359832763672,6.673557758331299,212.65744018554688,0.0,10.420412063598633,973.2833251953125
167,GHK peptide,22.81185437,-1266.4444580078125,-84.04527282714844,4.279156684875488,-111.8682632446289,0.0,5.247889041900635,-724.7340698242188
168,GHK peptide,21.58634282,-1266.4444580078125,-84.04527282714844,4.279156684875488,-111.8682632446289,0.0,5.247889041900635,-724.7340698242188
169,GHK peptide,14.2573962,-1266.4444580078125,-84.04527282714844,4.279156684875488,-111.8682632446289,0.0,5.247889041900635,-724.7340698242188
170,GHK peptide,33.5181655,-1670.135986328125,-83.74968719482422,3.0290701389312744,-142.77554321289062,0.0,2.895866870880127,-274.1751708984375
171,GHK peptide,28.69171996,-1670.135986328125,-83.74968719482422,3.0290701389312744,-142.77554321289062,0.0,2.895866870880127,-274.1751708984375
172,GHK peptide,27.80279558,-1670.135986328125,-83.74968719482422,3.0290701389312744,-142.77554321289062,0.0,2.895866870880127,-274.1751708984375
173,GHK peptide,42.90916931,-2074.475341796875,-90.83856964111328,2.2961535453796387,-171.7758026123047,0.0,1.962029218673706,168.4588623046875
174,GHK peptide,36.10497467,-2074.475341796875,-90.83856964111328,2.2961535453796387,-171.7758026123047,0.0,1.962029218673706,168.4588623046875
175,GHK peptide,38.28244524,-2074.475341796875,-90.83856964111328,2.2961535453796387,-171.7758026123047,0.0,1.962029218673706,168.4588623046875
176,GHK peptide,48.95237426,-2780.0771484375,-87.9598617553711,2.6500415802001953,-194.6597442626953,0.0,2.037264108657837,912.5464477539062
177,GHK peptide,41.19030492,-2780.0771484375,-87.9598617553711,2.6500415802001953,-194.6597442626953,0.0,2.037264108657837,912.5464477539062
178,GHK peptide,46.75545732,-2780.0771484375,-87.9598617553711,2.6500415802001953,-194.6597442626953,0.0,2.037264108657837,912.5464477539062
179,lidocaine,2.039379206,-1275.9542236328125,-85.71664428710938,3.974557638168335,-107.1607666015625,0.0,7.233370304107666,-738.4718017578125
180,lidocaine,33.03484383,-1685.40576171875,-71.3047103881836,-0.9043668508529663,-128.70570373535156,0.0,4.218597412109375,-275.8614807128906
181,lidocaine,144.6327434,-2048.121337890625,-65.21881103515625,1.9527790546417236,-154.24838256835938,0.0,3.273488998413086,210.23907470703125
182,lidocaine,340.7408145,-2697.650390625,-49.12053298950195,6.254674911499023,-158.1389617919922,0.0,6.868397235870361,1019.1268920898438
183,lidocaine,2.05618266,-1275.9542236328125,-85.71664428710938,3.974557638168335,-107.1607666015625,0.0,7.233370304107666,-738.4718017578125
184,lidocaine,32.82946828,-1685.40576171875,-71.3047103881836,-0.9043668508529663,-128.70570373535156,0.0,4.218597412109375,-275.8614807128906
185,lidocaine,136.2011436,-2048.121337890625,-65.21881103515625,1.9527790546417236,-154.24838256835938,0.0,3.273488998413086,210.23907470703125
186,lidocaine,295.8251818,-2697.650390625,-49.12053298950195,6.254674911499023,-158.1389617919922,0.0,6.868397235870361,1019.1268920898438
187,lidocaine,2.020708701,-1275.9542236328125,-85.71664428710938,3.974557638168335,-107.1607666015625,0.0,7.233370304107666,-738.4718017578125
188,lidocaine,33.79660041,-1685.40576171875,-71.3047103881836,-0.9043668508529663,-128.70570373535156,0.0,4.218597412109375,-275.8614807128906
189,lidocaine,147.2503481,-2048.121337890625,-65.21881103515625,1.9527790546417236,-154.24838256835938,0.0,3.273488998413086,210.23907470703125
190,lidocaine,347.4677973,-2697.650390625,-49.12053298950195,6.254674911499023,-158.1389617919922,0.0,6.868397235870361,1019.1268920898438
