Drug name,Drug loading in MN patch (µg),Drug MW (Dalton),MN Length (mm),Skin type (rat =1; human = 2),MN type (hydrogel =1; plastic = 2),MN surface area (mm2),Permeation time (hour),Drug permeation percentage,Drug permeation amounts (µg/cm2),References,smiles,is_small_molecule,LogP,TPSA,HBD,HBA,RotB,NumRings,NumAromaticRings,FractionCSP3,MolarRefractivity,NumHeteroatoms
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,22.0,12.779121,6.389560519,,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,22.0,11.5925059,5.796252944,,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,26.0,14.7766828,7.388341422,,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,26.0,12.7710002,6.385500108,,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,30.0,16.4452407,8.222620368,,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,30.0,14.0452258,7.022612893,,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,35.0,18.0232937,9.011646829,,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,35.0,15.2164335,7.608216742,,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,40.0,18.7169507,9.358475347,,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,40.0,16.3370368,8.168518396,,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
