strategy,n_train,r2_mean,r2_std,rmse_mean,rmse_std
GP-Uncertainty,45,0.9255085871551689,0.02300713894360808,0.3082922484145912,0.04341483222025891
GP-Uncertainty,48,0.92544632813874,0.02582997880875334,0.3070175444956575,0.0509930491903657
GP-Uncertainty,51,0.9255581971069968,0.03891715580055758,0.30171662588214965,0.07327516492089056
GP-Uncertainty,54,0.927244517785048,0.0387682539530291,0.2981128578575026,0.07299411711625156
GP-Uncertainty,57,0.9367094005034652,0.03579930612586472,0.2782458908481836,0.0680218203200314
GP-Uncertainty,60,0.9370404602935333,0.037021926962623394,0.27759434869527455,0.0689010962812485
GP-Uncertainty,63,0.9385697148127019,0.035978206556994075,0.27443105625844705,0.06731896954817453
GP-Uncertainty,66,0.9411740113886236,0.03279958494283656,0.26910713421264576,0.06555399585303386
GP-Uncertainty,69,0.9414376285530711,0.03296920782763743,0.2683464069262377,0.06592934922764475
GP-Uncertainty,72,0.9419226078576542,0.035422989532941235,0.26592910883259824,0.06933043180589898
GP-Uncertainty,75,0.942626854137073,0.03634901945744679,0.26328281983624147,0.07253717098867489
GP-Uncertainty,78,0.9480358489966555,0.034074922962154156,0.2490585622094268,0.07169540748674923
GP-Uncertainty,81,0.9498629423868955,0.03372048199464032,0.2443801279739707,0.07315170340835338
GP-Uncertainty,84,0.9577355307746735,0.03322738955432769,0.22343684191595736,0.06886400286438225
GP-Uncertainty,87,0.964982059719867,0.012726850382748291,0.2108358170525509,0.03384659746946202
GP-Uncertainty,90,0.9655860692742111,0.01543787522647388,0.20719213303445244,0.040635885442138565
GP-Uncertainty,93,0.9678304176736405,0.013282715200167354,0.20077989532163915,0.03592682644720176
GP-Uncertainty,96,0.970486904949057,0.011569479200766062,0.1928430961682065,0.03390567996974949
GP-Uncertainty,99,0.9701241795437527,0.01378371163244353,0.19273219911095132,0.0398912706666038
GP-Uncertainty,102,0.9704062601573487,0.014178299643573568,0.19130397521357217,0.04126678770532377
GP-Uncertainty,105,0.9737259549779924,0.009109792791567454,0.1822107637497578,0.029566997329793086
GP-Uncertainty,108,0.9752583440780846,0.00740869784443188,0.17730140158328656,0.02564392563877963
GP-Uncertainty,111,0.9777733075468131,0.007169057550876585,0.16759961863894687,0.02510412490565385
GP-Uncertainty,114,0.9781196332924132,0.006674612027565072,0.1665191675698101,0.023380537758193532
GP-Uncertainty,117,0.9786419018063199,0.006859286031860015,0.16416575874243447,0.024745190822860808
RF-QBC,12,0.5907543984885907,0.11969420651021881,0.721914458873776,0.10895265895832333
