Drug name,Drug loading in MN patch (µg),Drug MW (Dalton),MN Length (mm),Skin type (rat =1; human = 2),MN type (hydrogel =1; plastic = 2),MN surface area (mm2),Permeation time (hour),Drug permeation percentage,Drug permeation amounts (µg/cm2),References
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,26.0,12.7710002,6.385500108,
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,30.0,16.4452407,8.222620368,
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,30.0,14.0452258,7.022612893,
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,35.0,18.0232937,9.011646829,
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,35.0,15.2164335,7.608216742,
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,40.0,18.7169507,9.358475347,
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,40.0,16.3370368,8.168518396,
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,44.0,20.253696,10.12684798,
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,44.0,16.9128514,8.456425715,
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,48.0,26.52117,13.26058499,
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,48.0,22.8122906,11.40614532,
caffeine,5310.0,194.19,0.875973,2,1,28.53528595,0.5,0.0198437,1.0537,"Neo JK. Microneedle for self administration of caffeine in cellulite treatment [B.Sc thesis]. Singapore: Department of Pharmacy, National University of Singapore; 2014."
caffeine,3690.0,194.19,0.998619,2,1,32.43964704,0.5,0.0682791,2.5195,
caffeine,2190.0,194.19,1.062965,2,1,34.49080218,0.5,0.2099406,4.5977,
caffeine,5310.0,194.19,0.875973,2,1,28.53528595,1.0,0.0549341,2.917,
caffeine,3690.0,194.19,0.998619,2,1,32.43964704,1.0,0.1188347,4.385,
caffeine,2190.0,194.19,1.062965,2,1,34.49080218,1.0,0.3530365,7.7315,
caffeine,5310.0,194.19,0.875973,2,1,28.53528595,3.0,0.1772166,9.4102,
caffeine,3690.0,194.19,0.998619,2,1,32.43964704,3.0,0.349122,12.8826,
caffeine,2190.0,194.19,1.062965,2,1,34.49080218,3.0,1.409242,30.8624,
caffeine,5310.0,194.19,0.875973,2,1,28.53528595,6.0,0.406661,21.5937,
caffeine,3690.0,194.19,0.998619,2,1,32.43964704,6.0,0.6315799,23.3053,
caffeine,2190.0,194.19,1.062965,2,1,34.49080218,6.0,2.4832009,54.3821,
