MW,LogP,TPSA,HBD,HBA,RotB,NumRings,NumAromaticRings,FractionCSP3,MolarRefractivity,NumHeteroatoms,canon_smiles,logKp_cm_h,n_measurements,sources
88.14999999999999,1.1689,20.23,1,1,3,0,0,1.0,26.61079999999999,1,CCCCCO,-2.22,1,HuskinDB
74.12299999999999,0.7787999999999999,20.23,1,1,2,0,0,1.0,21.993799999999997,1,CCCCO,-2.46,1,HuskinDB
193.24599999999998,2.2257,52.32,1,3,4,1,1,0.36363636363636365,56.04490000000003,3,CCCCOC(=O)c1ccc(N)cc1,-1.14,1,SkinPiX
194.23,2.349100000000001,46.53,1,3,4,1,1,0.36363636363636365,53.297300000000035,3,CCCCOC(=O)c1ccc(O)cc1,-1.435,2,"HuskinDB,SkinPiX"
118.17599999999997,1.1414,29.46,1,2,4,0,0,1.0,32.54079999999998,2,CCCCOC(C)O,-2.61,1,HuskinDB
132.203,1.1839,29.46,1,2,5,0,0,1.0,37.407799999999995,2,CCCCOCC(C)O,-4.6,1,SkinPiX
118.17599999999999,0.7953999999999999,29.46,1,2,5,0,0,1.0,32.81279999999998,2,CCCCOCCO,-2.73,1,HuskinDB
162.22899999999998,0.812,38.69,1,3,8,0,0,1.0,43.63180000000001,3,CCCCOCCOCCO,-2.17,1,SkinPiX
150.22099999999998,2.734800000000001,20.23,1,1,3,1,1,0.4,46.71880000000004,1,CCCCc1ccc(O)cc1,-1.11,1,HuskinDB
60.096,0.3887,20.23,1,1,1,0,0,1.0,17.376800000000003,1,CCCO,-3.0,1,HuskinDB
179.21899999999997,1.8356,52.32,1,3,3,1,1,0.3,51.42790000000003,3,CCCOC(=O)c1ccc(N)cc1,-1.1,1,SkinPiX
180.20299999999997,1.9589999999999999,46.53,1,3,3,1,1,0.3,48.68030000000003,3,CCCOC(=O)c1ccc(O)cc1,-1.2,1,SkinPiX
152.19299999999998,2.181,29.46,1,2,3,1,1,0.3333333333333333,43.89280000000003,2,CCCOc1ccc(O)cc1,-1.82,1,HuskinDB
191.274,2.4770200000000004,20.310000000000002,0,1,3,1,1,0.4166666666666667,58.43050000000004,2,CCN(CC)C(=O)c1cccc(C)c1,-3.7,1,HuskinDB
234.343,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000005,3,CCN(CC)CC(=O)Nc1c(C)cccc1C,-2.99,2,"HuskinDB,SkinPiX"
201.661,1.3885999999999998,62.730000000000004,2,5,4,1,1,0.5714285714285714,53.164400000000015,6,CCNc1nc(Cl)nc(NCC)n1,-2.32,1,SkinPiX
46.069,-0.0014000000000000123,20.23,1,1,0,0,0,1.0,12.759800000000002,1,CCO,-2.79,1,HuskinDB
247.33799999999994,2.2131,29.54,0,3,3,2,1,0.5333333333333333,71.48400000000005,3,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,-2.43,1,HuskinDB
172.17999999999995,0.6688,52.60000000000001,0,4,4,0,0,0.5,42.40600000000002,4,CCOC(=O)C=CC(=O)OCC,-1.55,1,SkinPiX
330.3640000000001,2.1218000000000004,71.06,0,8,9,0,0,0.8,77.56500000000004,9,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-0.69,1,HuskinDB
165.19199999999998,1.4455,52.32,1,3,2,1,1,0.2222222222222222,46.81090000000002,3,CCOC(=O)c1ccc(N)cc1,-1.14,1,SkinPiX
166.176,1.5689,46.53,1,3,2,1,1,0.2222222222222222,44.06330000000003,3,CCOC(=O)c1ccc(O)cc1,-1.86,1,SkinPiX
222.23999999999995,2.04,52.60000000000001,0,4,4,1,1,0.3333333333333333,58.35500000000003,4,CCOC(=O)c1ccccc1C(=O)OCC,-1.69,1,SkinPiX
